fecha,indicativo,nombre,provincia,prec,velmedia,sol,longitud,latitud
09/2017,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,7.9,1.99,8.006666666666666,-2.331111111111111,42.452222222222225
09/2017,9201K,JACA,HUESCA,3.9,1.7620689655172415,,-0.5469444444444445,42.57888888888889
09/2017,9208E,ARAGÜÉS DEL PUERTO,HUESCA,39.4,2.382758620689655,,-0.6727777777777777,42.70861111111111
09/2017,9244X,SOS DEL REY CATÓLICO,ZARAGOZA,39.4,2.5733333333333333,,-1.213611111111111,42.490833333333335
09/2017,9262,PAMPLONA,NAVARRA,39.2,,,-1.6383333333333332,42.81777777777778
09/2017,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,29.4,3.033333333333333,7.346666666666667,-1.65,42.776944444444446
09/2017,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,39.300000000000004,1.4866666666666668,,-1.5325,42.77611111111111
09/2017,9294E,"BARDENAS REALES, BASE AÉREA",NAVARRA,40.800000000000004,4.556666666666667,,-1.475277777777778,42.198611111111106
09/2017,9381I,CALAMOCHA,TERUEL,2.8,2.2366666666666664,8.683333333333334,-1.2933333333333332,40.92611111111111
09/2017,9390,DAROCA,ZARAGOZA,2.7,1.5466666666666666,8.6,-1.41,41.114444444444445
09/2017,9394X,CALATAYUD,ZARAGOZA,2.6,2.5933333333333333,,-1.6452777777777778,41.33111111111111
09/2017,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,12.6,4.37,9.610000000000001,-1.0041666666666667,41.660555555555554
09/2017,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,4.2,3.466666666666667,8.931034482758621,-0.9347222222222222,41.62111111111111
09/2017,9563X,CASTELLFORT,CASTELLON,5.5,,,-0.18666666666666665,40.49861111111111
09/2017,9569A,CALANDA,TERUEL,2.2,3.35,,-0.23777777777777778,40.946666666666665
09/2017,9573X,ALCAÑIZ,TERUEL,9.4,2.216666666666667,,-0.14166666666666666,41.058055555555555
09/2017,9576C,BUJARALOZ,ZARAGOZA,10.799999999999999,3.9099999999999997,,-0.17444444444444443,41.5225
